Date: Day.Month.Year;Power Generation [kWh];Tavg;Tmin;Tmax;Hum;VPD;Prec;Pbin;Wspd;Wmax;Wdir;Cld;Sol;Sun;Pres;Vis;Soil
23.06.23;19,50000;18,46250;15,50000;23,50000;81,41667;0,44556;17,70000;1,00000;3,74583;6,20000;321,08596;6,79167;1338,00000;4,00000;1017,77083;30876,25000;20,20000
24.06.23;33,90000;19,80833;12,40000;25,20000;70,62500;0,79268;0,00000;0,00000;2,26667;4,10000;283,98243;4,83333;2503,00000;10,50000;1021,48333;37582,91667;22,20000
25.06.23;39,30000;22,96250;15,40000;28,10000;66,12500;1,11919;0,00000;0,00000;1,82500;3,20000;24,35672;2,58333;2111,00000;9,40000;1016,59167;34147,91667;23,60000
26.06.23;26,70000;20,31667;15,00000;26,80000;71,29167;0,72938;1,70000;1,00000;5,20000;8,90000;252,98810;3,25000;2123,00000;10,20000;1011,87083;33302,50000;21,70000
27.06.23;27,30000;16,25417;13,50000;20,50000;75,87500;0,48047;17,40000;1,00000;5,06667;9,10000;277,10626;4,16667;2042,00000;7,20000;1014,42500;42826,25000;18,70000
28.06.23;31,30000;18,14167;12,10000;22,70000;71,54167;0,66426;0,00000;0,00000;3,35000;5,20000;274,00841;4,41667;2292,00000;8,70000;1015,12500;48720,41667;20,10000
29.06.23;17,20000;20,04583;17,50000;22,80000;79,45833;0,50857;4,20000;1,00000;3,02500;6,00000;224,28390;7,83333;1217,00000;1,20000;1011,88750;19733,75000;21,00000
30.06.23;34,50000;17,85000;15,20000;21,40000;72,83333;0,60183;0,00000;1,00000;2,92917;4,90000;300,91641;6,45833;1998,00000;6,50000;1009,16667;50427,08333;20,90000
01.07.23;5,00000;16,67917;15,30000;17,80000;84,58333;0,29679;6,70000;1,00000;4,97917;6,90000;211,23785;7,70833;512,00000;0,20000;1001,33750;29829,58333;17,20000
02.07.23;32,20000;16,74167;14,40000;19,70000;65,75000;0,68151;0,80000;1,00000;6,66250;10,20000;252,89227;4,95833;2121,00000;8,40000;1003,25417;40527,08333;17,50000
03.07.23;16,60000;15,29167;13,30000;18,70000;71,12500;0,51535;1,30000;1,00000;5,27500;7,70000;235,24712;6,75000;1300,00000;3,50000;1005,22083;44271,66667;16,20000
04.07.23;20,60000;13,99583;11,70000;18,10000;82,54167;0,30289;8,90000;1,00000;4,83333;8,50000;236,43726;6,16667;1517,00000;6,10000;1008,54583;43132,08333;16,00000
05.07.23;12,10000;15,19167;12,10000;18,40000;75,37500;0,44824;9,30000;1,00000;7,90833;12,60000;183,64361;7,16667;1057,00000;1,90000;1005,68333;42373,75000;15,10000
06.07.23;25,40000;15,92500;11,40000;20,00000;70,20833;0,59650;0,00000;1,00000;3,77083;6,10000;260,47918;3,83333;1911,00000;9,50000;1014,86667;52334,16667;17,10000
07.07.23;44,90000;19,70417;11,60000;25,80000;61,45833;1,06775;0,00000;0,00000;2,54583;4,30000;172,70472;0,20833;2959,00000;14,60000;1019,71667;47608,75000;20,50000
08.07.23;43,40000;21,82917;13,00000;29,70000;58,29167;1,29920;0,00000;0,00000;3,23750;5,80000;70,94716;0,58333;2946,00000;15,40000;1018,90000;50525,83333;22,70000
09.07.23;35,70000;24,26667;17,40000;31,50000;54,20833;1,56619;1,80000;1,00000;3,95833;6,80000;96,82644;4,29167;2523,00000;12,10000;1017,99167;47667,50000;25,70000
10.07.23;34,00000;20,27500;15,00000;23,60000;75,33333;0,65093;1,00000;1,00000;3,78750;7,40000;301,38565;5,66667;2181,00000;8,60000;1016,83750;38995,00000;24,00000
11.07.23;33,10000;22,49583;14,20000;29,90000;64,08333;1,17280;0,00000;0,00000;4,03750;7,80000;171,64910;6,54167;2451,00000;11,50000;1011,55417;48146,66667;25,50000
